Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
49,15,3,85,6,Some Random Commen with Id 49
50,15,3,153,3,Some Random Commen with Id 50
51,15,3,199,4,Some Random Commen with Id 51
52,16,1,135,9,Some Random Commen with Id 52
53,16,1,148,7,Some Random Commen with Id 53
54,16,1,176,5,Some Random Commen with Id 54
55,16,1,189,5,Some Random Commen with Id 55
56,17,4,155,4,Some Random Commen with Id 56
57,17,4,90,0,Some Random Commen with Id 57
58,17,4,164,8,Some Random Commen with Id 58
59,17,4,44,0,Some Random Commen with Id 59
60,17,4,14,7,Some Random Commen with Id 60
61,18,8,147,7,Some Random Commen with Id 61
62,18,8,169,5,Some Random Commen with Id 62
63,18,8,197,4,Some Random Commen with Id 63
64,18,8,169,4,Some Random Commen with Id 64
65,18,8,112,6,Some Random Commen with Id 65
66,18,8,21,0,Some Random Commen with Id 66
67,19,0,69,1,Some Random Commen with Id 67
68,19,0,107,0,Some Random Commen with Id 68
69,19,0,23,2,Some Random Commen with Id 69
70,19,0,70,9,Some Random Commen with Id 70
71,19,0,182,1,Some Random Commen with Id 71
72,19,0,128,6,Some Random Commen with Id 72
73,19,0,172,3,Some Random Commen with Id 73
74,20,2,25,0,Some Random Commen with Id 74
75,21,7,47,3,Some Random Commen with Id 75
76,21,7,186,9,Some Random Commen with Id 76
77,21,7,28,0,Some Random Commen with Id 77
78,21,7,3,7,Some Random Commen with Id 78
79,21,7,43,0,Some Random Commen with Id 79
80,21,7,189,9,Some Random Commen with Id 80
81,21,7,135,1,Some Random Commen with Id 81
82,21,7,9,4,Some Random Commen with Id 82
83,22,3,114,1,Some Random Commen with Id 83
84,22,3,173,3,Some Random Commen with Id 84
85,23,8,68,9,Some Random Commen with Id 85
86,24,5,130,2,Some Random Commen with Id 86
87,24,5,124,6,Some Random Commen with Id 87
88,24,5,123,6,Some Random Commen with Id 88
89,25,6,132,6,Some Random Commen with Id 89
90,25,6,29,7,Some Random Commen with Id 90
91,25,6,91,3,Some Random Commen with Id 91
92,25,6,46,8,Some Random Commen with Id 92
93,25,6,75,0,Some Random Commen with Id 93
94,25,6,154,0,Some Random Commen with Id 94
95,25,6,11,7,Some Random Commen with Id 95
96,25,6,141,6,Some Random Commen with Id 96
97,26,6,112,0,Some Random Commen with Id 97
98,26,6,10,3,Some Random Commen with Id 98
99,26,6,130,4,Some Random Commen with Id 99
100,26,6,190,9,Some Random Commen with Id 100
101,26,6,187,4,Some Random Commen with Id 101
102,26,6,24,7,Some Random Commen with Id 102
103,26,6,13,4,Some Random Commen with Id 103
104,27,8,105,1,Some Random Commen with Id 104
105,28,5,75,6,Some Random Commen with Id 105
106,28,5,100,4,Some Random Commen with Id 106
107,28,5,76,4,Some Random Commen with Id 107
108,28,5,5,9,Some Random Commen with Id 108
109,29,0,146,1,Some Random Commen with Id 109
110,29,0,142,4,Some Random Commen with Id 110
111,29,0,72,5,Some Random Commen with Id 111
112,29,0,65,4,Some Random Commen with Id 112
113,29,0,145,8,Some Random Commen with Id 113
114,29,0,123,5,Some Random Commen with Id 114
115,30,8,106,9,Some Random Commen with Id 115
116,30,8,80,0,Some Random Commen with Id 116
117,30,8,60,3,Some Random Commen with Id 117
118,30,8,109,1,Some Random Commen with Id 118
119,30,8,178,4,Some Random Commen with Id 119
120,30,8,63,4,Some Random Commen with Id 120
121,30,8,129,1,Some Random Commen with Id 121
122,31,7,61,6,Some Random Commen with Id 122
123,32,0,20,6,Some Random Commen with Id 123
124,32,0,131,1,Some Random Commen with Id 124
125,32,0,52,0,Some Random Commen with Id 125
126,32,0,136,2,Some Random Commen with Id 126
127,32,0,50,7,Some Random Commen with Id 127
128,32,0,58,6,Some Random Commen with Id 128
129,33,2,29,5,Some Random Commen with Id 129
130,35,4,94,2,Some Random Commen with Id 130
131,35,4,103,1,Some Random Commen with Id 131
132,35,4,45,8,Some Random Commen with Id 132
133,35,4,157,1,Some Random Commen with Id 133
134,35,4,186,2,Some Random Commen with Id 134
135,35,4,48,1,Some Random Commen with Id 135
136,36,0,143,6,Some Random Commen with Id 136
137,36,0,94,3,Some Random Commen with Id 137
138,36,0,198,1,Some Random Commen with Id 138
139,36,0,66,6,Some Random Commen with Id 139
140,36,0,77,2,Some Random Commen with Id 140
141,36,0,122,0,Some Random Commen with Id 141
142,36,0,14,7,Some Random Commen with Id 142
143,36,0,78,0,Some Random Commen with Id 143
144,36,0,34,5,Some Random Commen with Id 144
145,37,5,184,7,Some Random Commen with Id 145
146,37,5,101,3,Some Random Commen with Id 146
147,37,5,75,5,Some Random Commen with Id 147
148,37,5,78,3,Some Random Commen with Id 148
149,37,5,191,4,Some Random Commen with Id 149
150,37,5,25,4,Some Random Commen with Id 150
151,38,4,83,1,Some Random Commen with Id 151
152,39,3,39,5,Some Random Commen with Id 152
153,39,3,42,8,Some Random Commen with Id 153
154,39,3,188,4,Some Random Commen with Id 154
155,39,3,31,3,Some Random Commen with Id 155
156,39,3,46,0,Some Random Commen with Id 156
157,39,3,165,2,Some Random Commen with Id 157
158,39,3,93,7,Some Random Commen with Id 158
159,39,3,95,9,Some Random Commen with Id 159
160,39,3,77,3,Some Random Commen with Id 160
